No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
70;;RUE;DOUDEAUVILLE;3;71,18;;Appartement
36;;RUE;MATHIS;1;10,19;;Appartement
14;;RUE;DE THIONVILLE;2;52,76;;Appartement
50;;RUE;PETIT;1;23,5;;Appartement
6;;RUE;D HAUTPOUL;3;73,71;;Appartement
16;;RUE;DU GENERAL LASSALLE;2;40,09;;Appartement
92;;RUE;DE BELLEVILLE;1;18,29;;Appartement
4;;RUE;JEAN BAPTISTE DUMAY;2;10,06;;Appartement
11;;VLA;STENDHAL;2;45,43;;Appartement
1;;PL;EMILE LANDRIN;4;83,33;;Appartement
85;;RUE;DE BAGNOLET;2;94,07;;Appartement
74;;RUE;SAINT BLAISE;3;50,01;;Appartement
83;;BD;DAVOUT;1;14,8;;Appartement
6;;RUE;DE LA REPUBLIQUE;2;54,3;;Appartement
44;;RUE;FELIX SANTALLIER;2;37,9;;Appartement
114;;BD;CLEMENCEAU;4;101;;Appartement
35;;RUE;GABRIEL PERI;1;21,52;;Appartement
1;;RUE;DU MAL JUIN;4;85,76;348;Maison
86;;BD;SIEGFRIED;3;88,93;;Appartement
44;;RUE;MARTIN IV;3;60,47;;Appartement
52;;RUE;DES BERGES;3;53,76;;Appartement
12;B;AV;ANDRE MALRAUX;3;60,03;;Appartement
16;;AV;GASTELLIER;2;43,69;;Appartement
2;;ALL;DU TEMPS QUI PASSE;4;83,21;;Appartement
18;;RUE;DE LA CLOCHE;3;25,72;;Appartement
14;;RUE;CREVOULIN;2;34,86;;Appartement
26;;AV;DE ROSSO;4;82,86;;Appartement
19;B;GR;GRANDE RUE;2;137;;Maison
22;;AV;GAMBETTA;1;24,7;;Appartement
1;;AV;MAURICE DE VLAMINCK;6;121,24;;Maison
57;;AV;DE LA GARE;3;65,65;;Appartement
9;;RUE;DU TOUARTE;5;82,04;346;Maison
7;;RUE;JULES VALLES;3;62,69;;Appartement
12;;RUE;GIUSEPPE VERDI;4;82,39;;Maison
24;;RUE;YVAN TOURGUENEFF;2;46,05;;Appartement
7;;RUE;DE L EGALITE;3;64,15;;Maison
5;;RUE;DES TOURMALINES;3;65,26;;Appartement
18;;AV;GAMBETTA;4;75,7;;Appartement
16;;RUE;DES PANIERS GONDS;3;119,5;;Maison
139;;RUE;DES LANDES;2;38,6;;Appartement
5;;ALL;DE L AQUEDUC;4;73,79;;Appartement
5;;ALL;DES GRENATS;3;73,81;;Appartement
11;;RUE;D ALSACE LORRAINE;4;99,08;;Maison
1;;SQ;ANNE FRANK;4;81,69;;Appartement
36;;RUE;DE LA MARNE;3;70,36;;Appartement
;;;LA PORTE D ANDIN;3;69,4;;Appartement
11;;RUE;CHARLES DE GAULLE;2;40,39;;Appartement
8;;RUE;DE CORNOUAILLES;5;89,09;;Maison
97;;RUE;MARCEL DECARRIS;2;40,95;;Appartement
7;;AV;DE SAINT GERMAIN;2;44,67;;Appartement
15;;RUE;DES SORBIERS;3;54,63;;Appartement
6;;RUE;BASTIAT;1;13,85;;Appartement
64;;RUE;DE PARIS;3;53,82;;Appartement
1;;RUE;SALOMON REINACH;4;85,6;;Appartement
66;;RUE;DE POISSY;1;17,01;;Appartement
112;;AV;DE LA REPUBLIQUE;3;42,3;;Appartement
8;;ALL;DE NORMANDIE;5;94,5;;Appartement
1;;IMP;CULOISEL;4;76;;Maison
4;;RUE;JEAN MERMOZ;4;89,29;;Appartement
14;B;RUE;MONTBAURON;4;105,59;;Appartement
9;;RTE;DE LA PLAINE;9;252,79;1694;Maison
15;;AV;DU GENERAL LECLERC;3;54,22;;Appartement
5;;RUE;CAPPERONNIER;4;69,84;;Appartement
13;;RUE;JEAN FROISSART;2;61,26;;Appartement
3;;RUE;DE LA LIBERATION;3;105,77;;Appartement
209;;BD;ALSACE LORRAINE;2;46,98;;Appartement
47;;BD;GUSTAVE GARRISSON;4;75,74;;Appartement
745;;CC;DE LA MARGUE;2;43,36;;Appartement
96;;RUE;AMBROISE PARE;4;78,03;;Appartement
1;;RUE;PAUL CEZANNE;3;71,85;;Appartement
14;;RUE;VICTOR ROUGIER;3;77,05;;Appartement
11;;ALL;ST VINCENT;4;30,82;;Appartement
5001;F;AV;BEAU RIVAGE;3;61,02;;Appartement
5001;F;AV;BEAU RIVAGE;2;38,23;;Appartement
8;;AV;DE LA GRANDE BASTIDE;4;66,94;;Appartement
21;;RUE;DE LA CONDAMINE;3;100,8;;Maison
114;;IMP;EUGENE BOUDIN;3;113,71;;Maison
9005;;;CAVALIERE;3;52,45;;Appartement
9001;;ALL;DES MARINES DE PORT ISSOL;1;33,72;;Maison
9100;;RES;LES FLEURS DES CHAMPS;2;36;;Appartement
22;;;LES SAGNARELLES;5;90;;Maison
200;;VC;CARRAIRE DE SAUVIOU;4;71,88;;Appartement
7;;RUE;VINCENT COURDOUAN;1;35,4;;Appartement
9001;;;ENGOUVINS LENTISQUES;3;68,4;;Appartement
6;;RUE;DANTON;1;33,15;;Appartement
15;;PL;PIGNOTTE;4;174,41;;Appartement
27;;AV;CHARLES DE GAULLE;4;78,56;;Maison
13;;RUE;CHARLES PINOT;3;61,5;;Appartement
1;;RUE;ANDRE JACQUEMIN;3;64,66;;Appartement
9;;RUE;HAUTE;1;21,59;;Appartement
119;;IMP;DU GRAND RAIN;2;38,91;;Appartement
18;;AV;VAUBAN;3;80,2;;Appartement
59;;GR;GRANDE RUE;2;41,3;;Appartement
52;;AV;MARCEL SEMBAT;2;42,17;;Appartement
9001;;;LA GRANGE AUX BELLES;5;93,95;;Appartement
47;;VIL;DES SORBIERS;6;99,23;;Maison
7;;;LES HAUTS DE BRUYERES;3;62,37;;Maison
39;;BD;HENRI DUNANT;2;41,57;;Appartement
94;;BD;JOHN KENNEDY;3;66,2;;Appartement
4;;RUE;MARCHAND;1;26,34;;Appartement
15;;RUE;DES ANEMONES;2;46,71;;Appartement
4;;AV;DU MARECHAL LANNES;1;42,93;;Appartement
9001;;CHE;DES SABLONS;3;73,38;;Appartement
9;;RUE;DU MOULIN;1;35,16;;Appartement
2;;RUE;GRANDE RUE;2;33,98;;Appartement
23;;RUE;DE LA CROIX BOISSEE;3;77,65;;Maison
18;;PL;DU GENERAL DE GAULLE;2;52,5;;Appartement
5;;RUE;AMERIGO VESPUCCI;3;58,68;;Appartement
40;;AV;DU PDT SALVADOR ALLENDE;4;75,51;;Appartement
20;;RUE;DE NOS LOISIRS;2;24,55;;Appartement
76;;RUE;ARISTIDE BRIAND;5;78,77;;Appartement
9001;;FRM;DU TEMPLE;3;56,89;;Appartement
58;;RUE;D'ENFER;2;44,97;;Appartement
3;;ALL;COLETTE;3;60,14;;Appartement
80;;AV;CHEVREUL;2;51,53;;Appartement
35;;RUE;GEORGES GUYNEMER;3;59,74;;Appartement
4;;RUE;LOUIS CHARLES BOILEAU;3;60,03;;Appartement
5;;RUE;FROIDE;3;50,71;;Appartement
15;;AV;DE PARIS;2;51,07;;Appartement
1;;RUE;HUNTZIGER;2;26;;Appartement
180;;RUE;D'ESTIENNE D'ORVES;3;68,44;;Appartement
8;;RUE;EDGAR QUINET;3;56,28;;Appartement
1;B;RUE;DE LA SABLIERE;3;63,03;;Appartement
4;;RUE;DE BEHAGLE;2;49,32;;Appartement
13;;AV;PUVIS DE CHAVANNES;4;76,85;;Appartement
9;;RUE;JULES FERRY;3;64,98;;Appartement
28;;RUE;DU PDT WILSON;3;49,75;;Appartement
22;;RUE;DE VILLIERS;3;65,34;;Appartement
113;;BD;GABRIEL PERI;4;88,06;;Appartement
3;;RUE;LOUIS ROLLAND;4;64,93;;Appartement
2;;RUE;DE STALINGRAD;1;18,81;;Appartement
27;;RUE;MAURICE THOREZ;3;81,91;;Appartement
20;;RUE;CHARTRAN;2;44,88;;Appartement
101;;RUE;PERRONET;2;44,51;;Appartement
25;;RUE;PARMENTIER;3;58,61;;Appartement
14;;RUE;CHARLES LORILLEUX;2;36,29;;Appartement
75;B;RUE;VICTOR HUGO;2;48,16;;Appartement
16;;AV;GEORGES POMPIDOU;3;75,58;;Appartement
77;;BD;RICHELIEU;7;116,02;;Appartement
51;;AV;DE SEINE;4;63,11;;Appartement
50;;RUE;DES ORTIES;3;62,84;;Appartement
50;;RUE;HENRI DUNANT;1;50,64;;Appartement
33;;RUE;DE LA TUILERIE;3;53,45;;Appartement
19;;RUE;DES BAS ROGERS;3;51,3;;Appartement
18;;RUE;GAMBETTA;2;29,1;;Appartement
50;;AV;DU PONANT;2;41,8;;Appartement
12;;RUE;HENRI BARBUSSE;3;55,58;;Appartement
3;;RUE;SCHAEFFER;3;64,7;;Appartement
53;;AV;DES PAVILLONS SOUS BOIS;2;44,9;;Appartement
145;;AV;PASTEUR;4;78,55;;Appartement
144;;AV;GAMBETTA;3;59,44;;Appartement
25;;RUE;MARIE ANNE COLOMBIER;3;46,49;;Appartement
20;;PROM;JEAN ROSTAND;3;65,04;;Appartement
14;;RUE;DANIEL DOHET;3;74,12;;Maison
5;;ALL;SUDROT;2;48,62;;Appartement
47;;AV;DU PRESIDENT WILSON;3;61,35;;Appartement
19;;RUE;DE L EGALITE;4;96,45;;Maison
10;;ALL;LOUIS ARAGON;1;18,4;;Appartement
6;;ALL;DE PARIS;2;40,83;;Appartement
9;;RUE;ROGER GAUTRE;2;26,9;;Appartement
32;;BD;DE L HOTEL DE VILLE;4;69,02;;Appartement
10;;AV;BUFFON;1;24,9;;Appartement
39;;RUE;RAYMOND JACLARD;2;50,3;;Appartement
5;B;RUE;DE PARIS;2;39,84;;Appartement
9;;AV;DU GAL LECLERC;4;82,92;;Appartement
12;;RUE;DU PRESIDENT KENNEDY;3;67,26;;Appartement
10;;RUE;DE SULLY;4;81,12;;Appartement
19;;RUE;L'INSURRECTION PARISIENNE;3;63,85;;Appartement
41;;AV;MAL DE LATTRE DE TASSIGNY;4;88,55;;Appartement
26;;RUE;CHEVREUL;4;75,85;;Maison
2;;AV;DU GEN DE GAULLE;3;68,24;;Appartement
21;;BD;DU MAL LECLERC;3;60;;Appartement
231;;AV;DU GENERAL LECLERC;3;63,02;;Appartement
106;;AV;DU GENERAL DE GAULLE;1;24,02;;Appartement
78;;BD;GAMBETTA;3;83,13;;Appartement
11;;RUE;CLAUDE BERNARD;3;60,02;;Appartement
103;;AV;DU GENERAL DE GAULLE;2;61,95;;Appartement
5;B;AV;FOCH;4;3,45;;Appartement
14;;RUE;GUYNEMER;4;160,04;;Appartement
46;;AV;SAINTE MARIE;2;51,5;;Appartement
3;;BD;DU GENERAL FERRIE;2;52,2;;Appartement
50;;AV;DE L ALMA;3;54,86;;Appartement
6;;RUE;DU GEN DE LARMINAT;5;141,5;;Maison
56;;RUE;DE LA PAIX;2;17,8;;Appartement
10;;RUE;DAUMESNIL;1;20,93;;Appartement
84;;RUE;DE FONTENAY;1;23,7;;Appartement
71;;AV;JEAN JAURES;2;30,04;;Appartement
3;;RUE;DES CHAMPIOUX;3;94,61;;Appartement
6;;;LE PARC DE BAILLET;3;71,84;;Appartement
11;;RUE;DE FRANCHE COMTE;4;77,13;;Maison
7;;CHT;BRULOIRS;4;82,39;;Appartement
59;;BD;DE L'EVASION;1;27,84;;Appartement
5;;RUE;JULES VERNE;4;87,16;;Appartement
6;;ALL;DU LAC;4;87,33;;Maison
37;;RUE;DE STALINGRAD;1;30,48;;Appartement
1;;RES;LES RINVALS;3;60,2;;Appartement
15;;CHE;DE SAINT BLIN;4;64,64;;Appartement
21;;RES;LES GENETS;5;121;;Maison
26;;RUE;DES PATIS;4;93,23;;Maison
110;;CHS;JULES CESAR;2;34,92;;Appartement
13;;RUE;DES MARADAS VERTS;3;67,1;;Appartement
56;;CHE;DES GUILLERANDS;5;86,63;;Maison
1;;RUE;PIERRE CURIE;4;83,13;;Appartement
11;;RUE;LOUIS LEBRUN;5;101,24;;Appartement
10;;AV;PAUL HERBE;6;103,48;;Appartement
18;;RUE;MARIN;1;19,49;;Appartement
8;;SQ;DE LA CHAPELLE;4;78,45;;Appartement
38;;RUE;PIERRE BEREGOVOY;4;73,84;;Appartement
75;;RUE;DE PARIS;1;18,56;;Appartement
8;;LOT;PIGNOLET DE FRESNES;3;84,74;;Maison
5637;A;AV;DES THERMES;1;25,07;;Appartement
1;;BD;DE RIQUIER;2;60,32;;Appartement
230;B;AV;DE FABRON;1;24,3;;Appartement
1;B;RUE;DU CLOS CAMUS;3;60,91;;Appartement
10;;RUE;THIERS;4;48,14;;Appartement
15;;RUE;HUBERT LATHAM;2;41,66;;Appartement
9;;RUE;DU FAUBOURG LA GRAPPE;1;29,92;;Appartement
21;;AV;AMBROISE PARE;1;38,54;;Appartement
8;;AV;DU ONZE NOVEMBRE;5;97,75;;Maison
23;;AV;DE LA LIBERATION;1;23,76;;Appartement
4;;BD;DE BAUDRICOURT;1;28,26;;Appartement
3;;RUE;GEORGES BRASSENS;2;41,93;;Appartement
24;;RUE;DU STADE;2;49,95;;Appartement
46;;RUE;DE LA CHEVALERIE;1;17,03;;Appartement
1;;RUE;EDOUARD BRANLY;5;95,35;;Appartement
305;;CHE;DE L ARTIGOU;3;37,96;;Appartement
76;;IMP;DES LAURIERS;3;64,42;;Appartement
18;;CRS;BAYARD;2;50,65;;Appartement
44;;RUE;NOTRE DAME DE LORETTE;4;69,61;;Appartement
5;;RUE;MAURICE LOEWY;1;24,47;;Appartement
166;;RUE;D ALESIA;2;56,06;;Appartement
38;;AV;EMILE ZOLA;3;55,36;;Appartement
21;;RUE;GAUTHIER 1ER;3;65,15;;Maison
2;;RUE;LEON RICHARD;4;69,02;;Appartement
10;;RUE;D ORLEANS;4;77,92;;Appartement
18;;RUE;GASTON VOILLEREAU;3;59,72;;Appartement
18;;RUE;DES ALBIZZIAS;3;64,36;;Appartement
8;A;RUE;DES BERDEILHOUNES;2;92,41;;Maison
9001;;RES;LES MAS DE LA MADRAGUE;2;36,86;;Appartement
11;;RUE;DE L HOTEL DE VILLE;3;45;;Appartement
78;;RUE;DE LA PLANCHETTE;2;66,21;;Appartement
2120;;RTE;DE BADUEL;3;62,35;;Appartement
88;;RUE;DE LA PIERRE;3;222,97;;Maison
15;B;RUE;DU CHAMP BOUILLANT;4;59,81;;Appartement
2;B;BD;EDOUARD BRANLY;2;45,12;;Appartement
3;;TRA;DES EAUX CHAUDES;1;35,71;;Appartement
9000;;RUE;COTE GELEE;1;26;;Appartement
390;;CHE;AMES DU PURGATOIRE;2;51,23;;Appartement
21;;BD;GENERAL VAUTRIN;1;44,7;;Appartement
68;;CHE;DE SAINT ANTONIN;3;107,35;;Appartement
100;;AV;DES ALLIES;2;38,77;;Appartement
1;;RUE;DE L EGLISE;2;59,36;;Appartement
341;;CHE;DE LA GINESTIERE;2;46,69;;Appartement
7;;RUE;DU SOLEIL;2;51,15;;Appartement
164;;BD;DE LA MADELEINE;2;42,01;;Appartement
16;;AV;PAUL DOUMER;1;38,57;;Appartement
139;;AV;DE VERDUN;3;67,3;;Appartement
560;;CHE;DE L ECOLE VIEILLE;4;78,03;;Maison
6;;LOT;LES LAVANDES ALLEE 1;5;99,57;;Maison
7;B;AV;DE LERIDA;3;76,97;;Appartement
3;;CHE;DE L'HOSPICE;1;70;;Appartement
128;;RUE;GENERAL DE GAULLE;1;42,64;;Appartement
120;;AV;DU GEN DE GAULLE;3;69,15;;Appartement
5081;F;RTE;NATIONALE 560;3;65,31;;Appartement
31;;;LES ROUCAS;4;85,46;;Appartement
167;;AV;FRANKLIN ROOSEVELT;3;55,31;;Appartement
671;;AV;EMILE RIPERT;3;66,08;;Appartement
10;;RUE;ROLLAND;2;59,5;;Appartement
15;;RUE;DE L ESCADRILLE N NIEMEN;3;62,42;;Appartement
9001;;RES;LES ROMARINS;3;74,25;;Appartement
22;;RUE;DES HEROS;1;19,26;;Appartement
72;;RUE;CURIOL;3;84,43;;Appartement
40;;RUE;MAZENOD;3;36,96;;Appartement
17;;BD;FRAISSINET;3;41,03;;Appartement
31;;BD;PHILIPPON;3;78,72;;Appartement
313;;RUE;SAINT PIERRE;1;18,72;;Appartement
57;;BD;ANDRE AUNE;2;41,77;;Appartement
4;;RUE;PETIT CHANTIER;3;29;;Appartement
29;;RUE;ROCCA;2;46,12;;Appartement
113;;TRA;CHEVALIER;4;73,59;;Appartement
164;;BD;DE LA MILLIERE;3;57,4;;Appartement
40;;RUE;SAINT ANDRE;4;60,49;;Appartement
11;;TSSE;MARITIME;3;68,24;;Appartement
1;;QUAI;DES MARCHANDS;4;81;;Appartement
14;;RUE;LABBEY;2;50,99;;Appartement
3;;BD;DU ROI D YS;1;23;;Appartement
93;;RUE;CHANZY;2;37,76;;Appartement
26;;CRS;MICHEL MONTAIGNE;3;84,56;;Appartement
5401;;VGE;DE TERRA BELLA;1;13,82;;Appartement
5001;;;FOCE INCESA;6;98,77;;Maison
5416;;RES;LES TERRASSES DU PARC J;3;70,61;;Appartement
8;;RUE;DES IRIS;3;68,32;;Appartement
841;;RTE;DE CARNON;1;29,01;;Appartement
7;;RUE;NOTRE DAME;2;51,25;;Appartement
4;;BD;DES PLATANES;1;26;;Appartement
70;;RUE;DUPATY;2;53,13;;Appartement
30;;RUE;JACQUES PREVERT;1;38,88;;Appartement
13;;IMP;DU COMMANDANT COUSTEAU;3;59,77;;Appartement
1;;RUE;DU JADE;2;31,15;;Appartement
13;;RUE;DE BEARN;4;107,77;;Maison
89;;RUE;DES NENUPHARS;2;30,64;;Appartement
8;;RUE;DE LA CARRIERASSE;3;91,77;;Appartement
13;;RUE;DE LA BASTILLE;3;128;;Appartement
43;;RUE;HENRI BARBUSSE;4;112,9;;Appartement
1;;IMP;CASTILHON;4;81,42;;Appartement
20;;RUE;DE ROME;4;78,06;;Appartement
13;;RUE;DU DOUET FOURCHE;4;68;;Maison
56;;AV;DE LA REPUBLIQUE;2;36,32;;Appartement
5;;ALL;DOC CALMETTE;2;48,25;;Appartement
11;;RUE;DES PALETTES;5;97,44;;Appartement
4;;RUE;CHARLES LORY;1;13,44;;Appartement
18;;RUE;JULES SIEGFRIED;4;52,8;;Appartement
3;;AV;MAL DE LATTRE DE TASSIGNY;3;89,6;;Maison
509;;AV;DE LA RESISTANCE;3;56,92;;Appartement
42;;AV;DES FORESTIERS;4;84,29;90;Maison
7;;AV;ELTVILLE;2;46,95;;Appartement
9004;;RUE;MOLIERE;3;64,66;;Appartement
8;;RUE;DU TREMOLIN;2;76,73;;Appartement
1;B;RUE;BIZET;3;65,2;;Appartement
1;B;RUE;BIZET;3;66,8;;Appartement
122;B;RUE;BERGSON;3;64,02;;Appartement
3;;RUE;DES TROIS GLORIEUSES;2;25,1;;Appartement
9001;;RES;LE PLAT HAUT;4;91,88;;Appartement
1;B;PL;DU MUSCADET;1;46,2;;Maison
32;;BD;DE L'ESTUAIRE;2;42,34;;Appartement
10;;RUE;EUGENE CHARTIER;3;67,55;;Appartement
12;;BD;DU MASSACRE;2;39,33;;Appartement
2;B;RUE;RENE GUY CADOU;3;69;;Appartement
17;;RUE;DE LA PRAIRIE;3;61,5;;Appartement
91;;RTE;DE NANTES;3;61,6;;Appartement
32;;RUE;CHARLES DE GAULLE;3;95,49;;Appartement
2;;RUE;DU CAP DE HAUTECLOQUE;4;84,1;;Appartement
4;;RUE;MARCELIN BERTHELOT;4;76,12;;Appartement
15;;BD;CARTERET;1;13,7;;Appartement
4;;AV;DU MAL FOCH;3;66,77;;Appartement
191;;RUE;PIERRE MAUROY;1;22,66;;Appartement
207;;RUE;DU PDT GEORGES POMPIDOU;1;23,04;;Appartement
1;;RUE;DES NAVETTES;3;64,04;;Appartement
59;;RUE;DE BURGAULT;2;66,9;;Appartement
134;;RUE;PASTEUR;3;63,99;;Appartement
153;;RUE;D ABLAIN SAINT NAZAIRE;2;37,98;;Appartement
2;;AV;DE BROCQUEVILLE;1;18,99;;Appartement
22;;RTE;DE SAINT JACQUES;4;90;1205;Maison
13;;RUE;DES LILAS;3;54,48;;Appartement
6;;PL;JEAN JAURES;2;54,94;;Appartement
4;;RUE;FRANCOIS MERMET;4;85,29;;Appartement
38;;RUE;CLAUDE JOSEPH BONNET;3;71;;Appartement
8;;RUE;BARON BOUVIER;1;28,7;;Appartement
53;;RUE;GRENETA;1;32,12;;Appartement
3;;RUE;N D DE BONNE NOUVELLE;1;20,22;;Appartement
11;;BD;SAINT MARTIN;4;100,75;;Appartement
23;;BD;SAINT MARTIN;5;6;;Appartement
30;;RUE;DES ROSIERS;1;21,2;;Appartement
22;;RUE;SAINT BENOIT;1;30,05;;Appartement
16;;RUE;MONCEY;5;158,95;;Appartement
21;;RUE;HENRY MONNIER;3;84,02;;Appartement
26;;RUE;DES MARTYRS;3;76,01;;Appartement
83;;RUE;DE DUNKERQUE;3;52,13;;Appartement
12;;RUE;LENTONNET;1;10,55;;Appartement
53;;RUE;DU FBG ST MARTIN;2;45,13;;Appartement
27;;RUE;BOUCHARDON;1;17,13;;Appartement
165;;RUE;SAINT MAUR;3;75,62;;Appartement
60;;AV;DU GAL MICHEL BIZOT;1;9,44;;Appartement
49;;BD;DIDEROT;4;108,55;;Appartement
96;;RUE;DAGUERRE;2;24,74;;Appartement
41;;RUE;GAZAN;1;38,88;;Appartement
30;;RUE;DU COUEDIC;1;24,61;;Appartement
75;;RUE;DU PERE CORENTIN;1;29,5;;Appartement
43;;RUE;BOULARD;3;83,8;;Appartement
13;;RUE;THIBOUMERY;3;74,43;;Appartement
22;;ALL;JOSEPH RECAMIER;2;42,65;;Appartement
18;;RUE;DE CHAMBERY;1;18,14;;Appartement
4;;RUE;DU CDT LEANDRI;1;20,15;;Appartement
41;;RUE;DE L ABBE GROULT;1;21,31;;Appartement
43;;RUE;CAMBRONNE;3;46,93;;Appartement
179;;RUE;DE VAUGIRARD;2;29,98;;Appartement
39;;RUE;LE MAROIS;2;44,6;;Appartement
21;;RUE;FANTIN LATOUR;3;50,8;;Appartement
28;;AV;MOZART;5;114,44;;Appartement
30;;AV;PDT WILSON;4;135,05;;Appartement
3;;RUE;DE BIZERTE;7;176,61;;Appartement
62;;RUE;DES BATIGNOLLES;3;48,7;;Appartement
4;;VLA;SAINT MICHEL;2;44,85;;Appartement
15;;RUE;SIMON DEREURE;5;151,05;;Appartement
6;;RUE;DE CLIGNANCOURT;4;83,62;;Appartement
28;;RUE;D ORAN;3;29,11;;Appartement
351;;RUE;DE BELLEVILLE;1;18,06;;Appartement
116;;BD;DE BELLEVILLE;2;37,58;;Appartement
15;;RUE;DE LA CITE DE LIMES;3;70;;Appartement
12;;RUE;DE CONSTANTINE;1;18,94;;Appartement
3;;PL;DES ACACIAS;3;68,77;;Appartement
33;;RUE;AUGUSTE MEUNIER;2;40,12;;Appartement
6;;ALL;RACINE;4;99,06;249;Maison
41;D;RUE;LEON BARBIER;4;91;;Appartement
12;;RUE;GUY BAUDOIN;4;87,37;;Appartement
16;;RUE;PIERRE COLOMBIER;3;74,79;;Maison
77;;RUE;DE L ORANGERIE;2;41,4;;Appartement
17;;RUE;DU MINAGE;4;109,25;;Appartement
25;;RUE;DE L EAU VIVE;1;70,35;;Appartement
19;;RUE;DES PEUPLIERS;4;76,88;;Maison
12;;AV;INGRID BERGMAN;5;86,1;;Appartement
74;;QUAI;BOISSY D ANGLAS;4;67,23;;Appartement
12;;CITE;DE LA CLAIRIERE;5;123,05;;Maison
460;;RUE;CLAUDE MONET;1;25,83;;Appartement
5;;RUE;CARUEL ST MARTIN;2;49,58;;Appartement
75;;RES;ARISTIDE BRIAND;4;62,28;;Appartement
15;B;BD;JEAN JAURES;2;35,16;;Appartement
16;;ALL;CLAUDE MONET;5;103,03;;Appartement
4;;RUE;DE TESSANCOURT;3;56,23;;Appartement
6;;ALL;DES TILLEULS;5;162,15;;Maison
31;B;RUE;F DUREAU;5;117,5;;Maison
3;;RUE;DE LA HAISE;4;73,6;;Appartement
7;;RUE;PAUL CODOS;3;79,21;;Appartement
7;;RUE;ROBERT DESNOS;4;74,48;;Appartement
10;;IMP;PEUPLIERS;4;120,27;;Maison
14;;ALL;DES CYPRES;2;29,16;;Appartement
11;;RUE;HENRI REGNAULT;3;65,03;;Appartement
28;;BD;DU ROI;2;67,48;;Appartement
22;;RUE;DES RESERVOIRS;4;116,21;;Appartement
32;;RUE;DU MAL FOCH;3;82,61;;Appartement
7;;CHE;DE LA VALLEE;7;137,1;;Maison
719;;AV;DE LEOJAC;2;38,55;;Appartement
620;;AV;DE LA LIBERATION;2;34,78;;Appartement
6;;BD;DE LA LAZARINE;3;65,47;;Appartement
17;;RUE;VIEILLE HORLOGE;3;75,25;;Appartement
307;;CHE;DE LA COURTINE;4;99,03;;Maison
2;;RUE;DU MOULIN;1;16,79;;Appartement
272;;AV;DE PORTISSOL;2;34,02;;Appartement
232;;ALL;DES LAURIERS ROSES;2;42,86;;Appartement
4;;RUE;FELIX GRAS;1;19;;Appartement
32;;AV;GENERAL LECLERC;2;43,5;;Appartement
11;;RUE;DE LA FRANCHE PIERRE;1;35,35;;Appartement
4;;;LE RANG CHENET;3;62,81;;Appartement
21;B;RUE;DE LA HAIE DES LEISSES;3;63,15;;Appartement
9;;RUE;DES MONTCELETS;4;89,21;;Maison
2;;RUE;THIROUX D ARCONVILLE;4;84,72;;Appartement
2;;AV;DE L EGLISE;6;122,67;;Appartement
9001;;RES;FONDS FANETTES;4;80,3;;Appartement
3;;ALL;DU DANEMARK;3;76,03;;Appartement
13;;RUE;DE SAVIGNY;3;64;;Appartement
27;;RUE;DEBUSSY;3;67,88;;Appartement
6;;PL;DE LA GARE;3;73,06;;Appartement
2;;VLA;DES BLEUETS;3;65,43;;Appartement
16;;RUE;DE L AMIRAL MOUCHEZ;2;33,55;;Appartement
15;;RUE;LOUIS BLERIOT;5;140,07;;Maison
12;;RUE;EUGENIE EBOUE;2;39,22;;Appartement
44;;RUE;DES PRES HAUTS;4;84,02;;Appartement
54;B;RUE;P VAILLANT COUTURIER;1;35,45;;Appartement
75;;RUE;HENRI BARBUSSE;2;38,69;;Appartement
75;;RUE;DE PARIS;1;20,27;;Appartement
19;;RUE;FANNY;2;26,01;;Appartement
4;;BD;SAINT DENIS;2;65,03;;Appartement
23;;AV;GALLIENI;1;26,64;;Appartement
35;;RUE;VOLTAIRE;2;37,84;;Appartement
34;;RUE;DE CHAMP CHARDON;2;46,07;;Appartement
56;;RUE;FENELON;3;62,04;;Appartement
2;;RUE;LUCIEN VOILIN;1;19,54;;Appartement
6;B;RUE;DE SAINT CLOUD;6;120,06;;Appartement
21;;AV;VERDUN;3;52,33;;Appartement
3;;RUE;ARTHUR RIMBAUD;2;46,32;;Appartement
1;;RES;DANIELLE CASANOVA;3;67,66;;Appartement
5;;RUE;DE LA PAIX;3;53,56;;Appartement
5;;RUE;THEOPHILE LEDUCQ;2;30,52;;Appartement
119;B;AV;DE LA RESISTANCE;3;64,77;;Appartement
49;T;RUE;DU DOCTEUR ROUX;3;58,43;;Appartement
10;;RUE;DE LA PERCHE;2;35,99;;Appartement
9;;RUE;KARL MARX;3;58,6;;Appartement
37;;RUE;GABRIEL PERI;2;37,8;;Appartement
13;;RUE;DE PARIS;1;20,08;;Appartement
20;;AV;CLAUDE DEBUSSY;3;61,04;;Appartement
11;;AV;LEON GOURDAULT;2;46,3;;Appartement
40;;RUE;DES SARRAZINS;4;88,93;;Appartement
93;;AV;LAFERRIERE;1;17,33;;Appartement
17;;RUE;DE LA GARE;3;57,05;;Appartement
52;;QUAI;FERNAND SAGUET;2;44,43;;Appartement
74;;RUE;CHEVREUL;2;52,23;;Appartement
26;B;RUE;SAINT HILAIRE;3;71,47;;Appartement
32;B;RUE;DES REMISES;4;55,41;;Appartement
51;;RUE;DU VAL D OSNE;2;42,81;;Appartement
5;;RUE;ALBERT SCHWEITZER;2;41,15;;Appartement
