No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
9;;RUE;PAUL BERT;2;38,05;;Appartement
21;;RUE;VICTOR HUGO;2;32,02;;Appartement
7;;RUE;DE LA SABLIERE;4;94,32;;Appartement
1;;SQ;DES COLONNES;3;61,97;;Appartement
6;;RUE;DE L'OUEST;3;61,93;;Appartement
7;;RUE;DU GUE;1;25,16;;Appartement
11;;RUE;DE LA BENARDE;2;46,75;;Appartement
12;;SQ;RONSARD;2;48,5;;Appartement
7;;RUE;LOUIS BLANC;2;44,17;;Appartement
55;;RUE;DU MOUTIER;2;35;;Appartement
77;;RUE;SADI CARNOT;2;30,45;;Appartement
4;;RUE;ARTHUR RIMBAUD;3;70,56;;Appartement
24;;RUE;KLEBER;6;102,46;;Appartement
68;;RUE;DU COLONEL FABIEN;1;21,13;;Appartement
18;;RUE;PAUL CARLE;2;41,57;;Appartement
15;;RUE;DE TRUCY;1;29,07;;Appartement
3;;ALL;MULATRESSE SOLITUDE;3;68,02;;Appartement
4;;RUE;HALIFAX;3;73,81;;Appartement
6;;RUE;ANQUETIL;2;50,08;;Appartement
83;;AV;DU BAC;3;61,93;;Appartement
16;;RUE;DU MOUTIER;2;34,2;;Appartement
1;;RUE;PIERRE ET MARIE CURIE;2;39,39;;Appartement
7;;ALL;DE DERRIERE LES JARDINS;4;84,23;;Appartement
74;;RUE;DE LA JARRY;3;50,6;;Appartement
27;;AV;PAUL DEROULEDE;1;25,14;;Appartement
4;;RUE;DE LA BRIQUETERIE;3;64;;Appartement
1;;RUE;DES CAPUCINES;2;45,04;;Appartement
1;;RUE;DU PAPIER COUCHE;3;56,86;;Appartement
20;;RUE;DES MARECHAUX;4;77,71;;Appartement
76;;RUE;GEORGE SAND;3;61,05;;Appartement
9003;;PL;DE L HORLOGE;4;105,71;;Appartement
17;;RUE;DE VERDUN;2;30,09;;Appartement
6412;;CHE;DE BOIS LURETTE;2;30,38;;Appartement
10;;RUE;FERRI III;2;47,04;;Appartement
29;;RTE;DE CUSIN;3;63,14;;Appartement
5;;RUE;DU ROCHER;2;45,61;;Appartement
12;;RUE;MARTIN BLEU DIEU;1;34,99;;Appartement
7;;AV;DU DOCTEUR ROUANET;4;67,19;;Appartement
9;;RUE;DE LA JUIVERIE;1;31,49;;Appartement
1;;RUE;DE GEX;3;82,59;;Appartement
140;;RUE;DE L'ABBE JOLIVET;5;109,22;;Maison
1;;RUE;DES MONGES;4;144,6;;Appartement
3;;RUE;NOTRE-DAME;2;31,21;;Appartement
56;;AV;DU TROIS SEPTEMBRE;1;24,58;;Appartement
114;;AV;GASTON DE FONTMICHEL;2;36,6;;Appartement
55;;AV;DE SOSPEL;1;29;;Appartement
649;;PROM;DU SOLEIL;2;54,34;;Appartement
17;;RUE;GOUNOD;2;32,83;;Appartement
4;;BD;CIMIEZ;4;133,44;;Appartement
;;;LES FEUILLATES;3;63,58;;Appartement
17;D;RUE;DE LA COOPERATIVE;3;50,75;;Appartement
146;;AV;GEN GALLIENI;2;47,88;;Appartement
2;;RUE;NVE DE LA REPUBLIQUE;3;68,03;;Appartement
1;;RES;GRUISSAN PORT;3;23,89;;Appartement
156;;PL;DE LA BONANCE;2;22,15;;Appartement
2;;RUE;DE LA BIBLIOTHEQUE;5;82,72;;Appartement
26;;RUE;DOCT SEVERIN ICARD;3;36,8;;Appartement
3;;RUE;ANTOINE PIRRODI;1;29,29;;Appartement
432;;BD;DE LAVAUX;4;115,53;;Appartement
200;;CHEM;DU COULET;3;92,99;;Maison
294;;BD;CHAVE;3;64,45;;Appartement
62;;BD;BOMPARD;3;24,89;;Appartement
2;;RUE;CAPITAINE DESSEMOND;1;22,71;;Appartement
27;;RUE;ROCCA;4;85,37;;Appartement
1;;RES;LE LANCIER;1;31,28;;Appartement
68;;BD;MIREILLE LAUZE;5;112,09;;Appartement
6;;AV;ROGER DELIENCOURT;2;41,78;;Appartement
4;;AV;DE LA REPUBLIQUE;2;47,05;;Appartement
15;;RUE;JEAN JACQUES ROUSSEAU;3;77,87;;Appartement
5;;RUE;D ESPAGNAC;3;70,19;;Appartement
